Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Biztalk Developer,60%,138,1072,0.128731343,Medical & Healthcare
Report Analyst,60%,182,1339,0.13592233,Supply Chain & Logistics
Revenue Cycle Analyst,60%,149,1055,0.141232227,Law Enforcement
Cloud Architect,60%,142,1039,0.136669875,Construction
Data Technician,60%,145,1037,0.139826422,Sales & Marketing
Database Specialist,60%,159,1116,0.142473118,Hospitality
Financial Data Analyst,60%,196,1403,0.139700641,Communication & PR
Sql Database Administrator,60%,149,1090,0.136697248,Data & IT
Process Server,60%,65,661,0.098335855,Administrative & Clerical
Game Designer,60%,171,1413,0.121019108,Leadership & Strategy
Embryologist,60%,50,569,0.087873462,Medical & Healthcare
Medical Office Assistant,60%,90,858,0.104895105,Supply Chain & Logistics
Customs Broker,60%,123,918,0.133986928,Law Enforcement
Import Coordinator,60%,129,935,0.137967914,Construction
Import Specialist,60%,127,931,0.13641246,Sales & Marketing
Merchandising Coordinator,60%,162,1111,0.145814581,Hospitality
Purchaser,59%,142,1024,0.138671875,Communication & PR
Retail Buyer,58%,158,1126,0.140319716,Data & IT
Assistant Producer,57%,118,924,0.127705628,Administrative & Clerical
Communications Consultant,57%,139,1033,0.134559535,Leadership & Strategy
Content Producer,57%,216,1506,0.143426295,Medical & Healthcare
Clinical Project Manager,57%,121,942,0.128450106,Supply Chain & Logistics
Environmental Project Manager,55%,110,869,0.126582278,Law Enforcement
Clerk,55%,85,830,0.102409639,Construction
Commodity Buyer,55%,147,1117,0.131602507,Sales & Marketing
Infrastructure Analyst,55%,148,1095,0.135159817,Hospitality
Landscape Architect,55%,89,1074,0.082867784,Communication & PR
Associate Creative Director,55%,147,1115,0.131838565,Data & IT
Claims Manager,55%,124,956,0.129707113,Administrative & Clerical
Administration Manager,55%,111,1059,0.104815864,Leadership & Strategy
Department Assistant,55%,101,947,0.106652587,Medical & Healthcare
Document Specialist,55%,111,911,0.121844127,Supply Chain & Logistics
Executive Administrator,55%,105,979,0.107252298,Law Enforcement
Front Desk Assistant,55%,91,815,0.111656442,Construction
Implementation Specialist,55%,155,1219,0.127153404,Sales & Marketing
Avionics Technician,55%,73,638,0.114420063,Hospitality
Custodial Worker,55%,44,485,0.090721649,Communication & PR
Dock Worker,55%,46,486,0.094650206,Data & IT
Facilities Maintenance,55%,66,578,0.114186851,Administrative & Clerical
Fiber Optic Splicer,55%,67,629,0.106518283,Leadership & Strategy
Fiber Optic Technician,55%,68,632,0.107594937,Medical & Healthcare
Analyst,55%,162,1144,0.141608392,Supply Chain & Logistics
Customer Care Representative,55%,121,1083,0.111726685,Law Enforcement
Proposal Manager,55%,169,1340,0.126119403,Construction
Sales Development Representative,55%,165,1417,0.11644319,Sales & Marketing
Mathematician,55%,75,736,0.101902174,Hospitality
Aerospace Engineer,55%,89,749,0.1188251,Communication & PR
Cad Designer,55%,124,1265,0.098023715,Data & IT
Child Psychologist,55%,52,581,0.089500861,Administrative & Clerical
Criminalist,55%,73,670,0.108955224,Leadership & Strategy
Forensic Engineer,55%,85,747,0.113788487,Medical & Healthcare
Forensic Specialist,55%,85,743,0.114401077,Supply Chain & Logistics
Security Manager,55%,101,833,0.121248499,Law Enforcement
Edi Developer,55%,114,746,0.152815013,Construction
Embedded Software Engineer,55%,117,763,0.153342071,Sales & Marketing
Financial Systems Analyst,55%,163,1195,0.136401674,Hospitality
Fpga Design Engineer,55%,130,998,0.130260521,Communication & PR
It Security Engineer,55%,139,1071,0.129785247,Data & IT
Linux System Engineer,55%,143,1061,0.134778511,Administrative & Clerical
Network Engineer,55%,141,1049,0.134413727,Leadership & Strategy
Network Security Engineer,55%,142,1056,0.134469697,Medical & Healthcare
Network Support Engineer,55%,141,1049,0.134413727,Supply Chain & Logistics
Network Systems Engineer,55%,141,1049,0.134413727,Law Enforcement
Senior Systems Analyst,55%,155,1123,0.138023152,Construction
System Engineer,55%,143,1058,0.135160681,Sales & Marketing
Systems Engineer,55%,144,1062,0.13559322,Hospitality
Business Controller,55%,126,1017,0.123893805,Communication & PR
Delivery Manager,55%,138,1036,0.133204633,Data & IT
Tax Associate,55%,128,1017,0.125860374,Administrative & Clerical
Medical Administrative Specialist,55%,101,919,0.109902067,Leadership & Strategy
Tax Professional,55%,128,1017,0.125860374,Medical & Healthcare
Insurance Producer,55%,110,853,0.128956624,Supply Chain & Logistics
Specialist,55%,169,1195,0.141422594,Law Enforcement
Contracts Manager,55%,130,985,0.131979695,Construction
Billing Manager,55%,175,1434,0.122036262,Sales & Marketing
Sourcing Analyst,55%,151,1204,0.125415282,Hospitality
Auto Sales,55%,147,1318,0.111532625,Communication & PR
Inside Sales Associate,55%,193,1720,0.112209302,Data & IT
Inside Sales Representative,55%,192,1716,0.111888112,Administrative & Clerical
Insurance Sales Agent,55%,179,1628,0.10995086,Leadership & Strategy
National Account Executive,55%,115,1014,0.113412229,Medical & Healthcare
Pharmaceutical Sales Representative,55%,120,1045,0.114832536,Supply Chain & Logistics
Sales Account Executive,55%,117,1018,0.114931238,Law Enforcement
Sales Agent,55%,118,1034,0.114119923,Construction
Nurse Aide,55%,49,439,0.111617312,Sales & Marketing
Nurse Technician,55%,50,447,0.111856823,Hospitality
Nursing Attendant,55%,54,480,0.1125,Communication & PR
Traveling Nurse,55%,52,533,0.097560976,Data & IT
Bookseller,55%,81,661,0.122541604,Administrative & Clerical
Freelance Translator,55%,133,1125,0.118222222,Leadership & Strategy
Applications Engineer,55%,177,1302,0.1359447,Medical & Healthcare
Digital Marketing,55%,236,1946,0.121274409,Supply Chain & Logistics
Digital Marketing Analyst,55%,240,1911,0.125588697,Law Enforcement
Digital Marketing Consultant,55%,238,1911,0.124542125,Construction
Digital Marketing Coordinator,55%,241,1923,0.125325013,Sales & Marketing
Digital Marketing Manager,55%,240,1920,0.125,Hospitality
Digital Marketing Specialist,55%,241,1923,0.125325013,Communication & PR
Digital Marketing Strategist,55%,238,1912,0.124476987,Data & IT
Email Marketing Specialist,55%,232,1857,0.124932687,Administrative & Clerical
Marketing Automation Specialist,55%,201,1931,0.104091144,Leadership & Strategy
Marketing Consultant,55%,200,1637,0.12217471,Medical & Healthcare
Marketing Operations Manager,55%,165,1338,0.123318386,Supply Chain & Logistics
Social Media Analyst,55%,247,2115,0.11678487,Law Enforcement
Social Media Consultant,55%,241,2114,0.114001892,Construction
Social Media Marketing,55%,259,2183,0.118644068,Sales & Marketing
Vice President Of Marketing,55%,132,976,0.135245902,Hospitality
Vp Marketing,54%,136,981,0.138634047,Communication & PR
Business Project Manager,53%,207,1602,0.129213483,Data & IT
Commercial Project Manager,53%,197,1459,0.135023989,Administrative & Clerical
Implementation Project Manager,53%,206,1608,0.128109453,Leadership & Strategy
Marketing Project Manager,52%,178,1396,0.127507163,Medical & Healthcare
Pmo Manager,52%,148,1192,0.124161074,Supply Chain & Logistics
Product Marketing Manager,51%,173,1350,0.128148148,Law Enforcement
Project Controller,51%,155,1215,0.127572016,Construction
Senior Product Manager,50%,161,1257,0.128082737,Sales & Marketing
Dealer,50%,54,369,0.146341463,Hospitality
Personal Shopper,50%,71,543,0.130755064,Communication & PR
Store Shopper,50%,64,529,0.120982987,Data & IT
Electrical Engineer,50%,130,847,0.153482881,Administrative & Clerical
Fabrication Manager,50%,114,805,0.141614907,Leadership & Strategy
Quantity Surveyor,50%,80,636,0.125786164,Medical & Healthcare
Surveyor,50%,80,680,0.117647059,Supply Chain & Logistics
Commercial Underwriter,50%,179,1514,0.118229855,Law Enforcement
Insurance Analyst,50%,186,1529,0.121648136,Construction
Licensed Insurance Agent,50%,104,846,0.122931442,Sales & Marketing
Property Claims Adjuster,50%,91,766,0.118798956,Hospitality
Healthcare Consultant,50%,190,1528,0.12434555,Communication & PR
Medical Administrative Assistant,50%,115,848,0.135613208,Data & IT
Medical Consultant,50%,100,779,0.128369705,Administrative & Clerical
Medical Office Specialist,50%,117,887,0.131905299,Leadership & Strategy
Patient Account Representative,50%,103,813,0.126691267,Medical & Healthcare
Pharmacy Technician Trainee,50%,48,501,0.095808383,Supply Chain & Logistics
Eligibility Specialist,50%,154,1110,0.138738739,Law Enforcement
Eligibility Worker,50%,153,1109,0.137962128,Construction
Mail Carrier,50%,41,390,0.105128205,Sales & Marketing
Professional Organizer,50%,61,488,0.125,Hospitality
Buyer Planner,50%,183,1289,0.14197052,Communication & PR
Export Specialist,50%,167,1167,0.143101971,Data & IT
Gas Controller,50%,122,802,0.152119701,Administrative & Clerical
Logistics Assistant,50%,139,1138,0.122144112,Leadership & Strategy
Materials Coordinator,50%,135,974,0.138603696,Medical & Healthcare
Procurement Specialist,50%,150,1190,0.12605042,Supply Chain & Logistics
Purchasing Analyst,50%,147,1149,0.127937337,Law Enforcement
Service Manager,50%,114,911,0.125137212,Construction
Sourcing Specialist,50%,148,1195,0.123849372,Sales & Marketing
Assistant Media Planner,50%,206,1797,0.114635504,Hospitality
Broadcast Producer,50%,179,1516,0.118073879,Communication & PR
Communications Associate,50%,207,1797,0.115191987,Data & IT
Digital Media Specialist,50%,286,2430,0.117695473,Administrative & Clerical
Video Coordinator,50%,206,1660,0.124096386,Leadership & Strategy
Etl Tester,50%,159,1100,0.144545455,Medical & Healthcare
Qa Tester,50%,280,2236,0.125223614,Supply Chain & Logistics
Quality Assurance Tester,50%,280,2236,0.125223614,Law Enforcement
Software Qa Engineer,50%,277,2231,0.12415957,Construction
Software Quality Assurance,50%,275,2220,0.123873874,Sales & Marketing
Software Quality Assurance Engineer,50%,276,2219,0.124380352,Hospitality
Software Test Engineer,50%,272,2209,0.123132639,Communication & PR
Software Tester,50%,272,2209,0.123132639,Data & IT
Test Analyst,50%,252,2050,0.122926829,Administrative & Clerical
Test Engineer,50%,130,986,0.131845842,Leadership & Strategy
Tester,50%,134,1008,0.132936508,Medical & Healthcare
Java Consultant,50%,186,1290,0.144186047,Supply Chain & Logistics
CPR Instructor,50%,64,489,0.130879346,Law Enforcement
Community Health Educator,50%,155,1155,0.134199134,Construction
Curriculum Developer,50%,157,1406,0.111664296,Sales & Marketing
Day Care Teacher,50%,74,566,0.130742049,Hospitality
Early Childhood Teacher,50%,73,562,0.129893238,Communication & PR
Educational Consultant,50%,162,1458,0.111111111,Data & IT
Flight Instructor,50%,55,399,0.137844612,Administrative & Clerical
Training Consultant,50%,125,930,0.134408602,Leadership & Strategy
3D Animator,50%,132,1041,0.126801153,Medical & Healthcare
3D Artist,50%,156,1190,0.131092437,Supply Chain & Logistics
Architectural Draftsman,50%,137,932,0.146995708,Law Enforcement
Digital Artist,50%,240,2063,0.116335434,Construction
Draftsman,50%,149,1375,0.108363636,Sales & Marketing
Graphic Artist,50%,238,2083,0.114258281,Hospitality
CNA,50%,31,233,0.13304721,Communication & PR
Clinical Pharmacist,50%,93,745,0.124832215,Data & IT
Compounder,50%,59,487,0.121149897,Administrative & Clerical
Dental Ceramist,50%,49,365,0.134246575,Leadership & Strategy
Dental Lab Technician,50%,49,347,0.141210375,Medical & Healthcare
Dental Technician,50%,50,350,0.142857143,Supply Chain & Logistics
Dialysis Technician,50%,54,491,0.109979633,Law Enforcement
Hemodialysis Technician,50%,49,397,0.123425693,Construction
Hospital Cleaner,50%,20,240,0.083333333,Sales & Marketing
Hospital Pharmacist,50%,86,727,0.11829436,Hospitality
Medical Assembler,50%,54,493,0.109533469,Communication & PR
Programmer,50%,218,1891,0.115282919,Data & IT
Senior Programmer,50%,217,1894,0.114572334,Administrative & Clerical
Software Programmer,50%,219,1900,0.115263158,Leadership & Strategy
Web Programmer,50%,148,1080,0.137037037,Medical & Healthcare
Cognos Developer,50%,161,1098,0.146630237,Supply Chain & Logistics
Pricing Analyst,50%,144,1055,0.136492891,Law Enforcement
Sap Business Analyst,50%,196,1580,0.124050633,Construction
Business Data Analyst,50%,207,1500,0.138,Sales & Marketing
Senior Design Engineer,50%,163,1621,0.100555213,Hospitality
Ux Designer,50%,129,993,0.129909366,Communication & PR
Hris Analyst,50%,175,1363,0.12839325,Data & IT
Talent Acquisition,50%,126,1096,0.114963504,Administrative & Clerical
Talent Acquisition Manager,50%,125,1095,0.114155251,Leadership & Strategy
Talent Acquisition Specialist,50%,126,1096,0.114963504,Medical & Healthcare
Paralegal,50%,144,982,0.146639511,Supply Chain & Logistics
Title Examiner,50%,124,938,0.132196162,Law Enforcement
Fundraiser,50%,164,1393,0.117731515,Construction
Underwriting Assistant,50%,126,957,0.131661442,Sales & Marketing
Analytical Scientist,50%,124,912,0.135964912,Hospitality
Biochemist,50%,113,828,0.13647343,Communication & PR
Chemical Engineer,50%,116,845,0.137278107,Data & IT
Chemical Technician,50%,106,795,0.133333333,Administrative & Clerical
Telemetry Technician,50%,85,689,0.123367199,Leadership & Strategy
Actuarial Analyst,50%,160,1519,0.105332456,Medical & Healthcare
Bursar,50%,146,1045,0.139712919,Supply Chain & Logistics
Cash Manager,50%,169,1250,0.1352,Law Enforcement
Compensation Manager,50%,170,1254,0.135566188,Construction
Cost Accounting Manager,50%,156,1101,0.141689373,Sales & Marketing
Cost Estimator,50%,164,1138,0.144112478,Hospitality
Junior Loan Processor,50%,130,954,0.136268344,Communication & PR
Junior Underwriter,50%,123,932,0.131974249,Data & IT
Loan Processor,50%,129,962,0.134095634,Administrative & Clerical
Mortgage Processor,50%,127,960,0.132291667,Leadership & Strategy
Mortgage Underwriter,50%,125,954,0.131027254,Medical & Healthcare
Tax Advisor,50%,112,866,0.129330254,Supply Chain & Logistics
Tax Consultant,50%,114,870,0.131034483,Law Enforcement
Tax Specialist,50%,114,870,0.131034483,Construction
Trading Analyst,50%,148,1070,0.138317757,Sales & Marketing
Travel Manager,50%,116,931,0.124597207,Hospitality
Armed Security Officer,50%,75,569,0.131810193,Communication & PR
Bouncer,50%,25,238,0.105042017,Data & IT
Clinical Trial Associate,50%,162,1197,0.135338346,Administrative & Clerical
Fire Safety Director,50%,85,628,0.135350318,Leadership & Strategy
Fraud Investigator,50%,169,1270,0.133070866,Medical & Healthcare
Intelligence Specialist,50%,177,1247,0.141940658,Supply Chain & Logistics
Loss Prevention Officer,50%,70,540,0.12962963,Law Enforcement
Police Records Clerk,50%,59,623,0.09470305,Construction
Safety Director,50%,69,540,0.127777778,Sales & Marketing
Safety Inspector,50%,67,523,0.128107075,Hospitality
Security Specialist,50%,92,735,0.125170068,Communication & PR
Surveillance Investigator,50%,82,673,0.121842496,Data & IT
Business Analyst,50%,218,1726,0.126303592,Administrative & Clerical
Construction Estimator,50%,163,1111,0.146714671,Leadership & Strategy
Crm Administrator,50%,183,1401,0.130620985,Medical & Healthcare
Etl Informatica Developer,50%,161,1087,0.148114075,Supply Chain & Logistics
Help Desk Technician,50%,204,1563,0.130518234,Law Enforcement
It Engineer,50%,188,1290,0.145736434,Construction
Linux Engineer,50%,189,1387,0.136265321,Sales & Marketing
Linux System Administrator,50%,189,1387,0.136265321,Hospitality
Network Administrator,50%,186,1666,0.111644658,Communication & PR
Network Security Administrator,50%,175,1681,0.1041047,Data & IT
Sap Basis Administrator,50%,170,1248,0.136217949,Administrative & Clerical
Security Administrator,50%,160,1233,0.129764801,Leadership & Strategy
Security Architect,50%,167,1603,0.104179663,Medical & Healthcare
Solution Architect,50%,205,1543,0.132858069,Supply Chain & Logistics
System Administrator,50%,182,1261,0.144329897,Law Enforcement
Systems Programmer,50%,202,1686,0.119810202,Construction
Technical Support Analyst,50%,220,1796,0.122494432,Sales & Marketing
Technical Support Specialist,50%,219,1795,0.122005571,Hospitality
Technology Analyst,50%,240,1729,0.13880856,Communication & PR
Vmware Engineer,50%,139,1048,0.132633588,Data & IT
Wireless Network Engineer,50%,142,1054,0.134724858,Administrative & Clerical
Mobile Engineer,50%,137,1106,0.123869801,Leadership & Strategy
R&D Engineer,50%,153,1151,0.132927889,Medical & Healthcare
Research And Development Engineer,50%,154,1152,0.133680556,Supply Chain & Logistics
Wireless Engineer,50%,142,1054,0.134724858,Law Enforcement
Administrative Manager,50%,288,2547,0.113074205,Construction
Credentialing Coordinator,50%,164,1261,0.130055511,Sales & Marketing
Credentialing Specialist,50%,164,1261,0.130055511,Hospitality
Document Controller,50%,202,1569,0.128744423,Communication & PR
Enrollment Specialist,50%,177,1458,0.121399177,Data & IT
Facilities Coordinator,50%,156,1117,0.139659803,Administrative & Clerical
Fraud Specialist,50%,176,1320,0.133333333,Leadership & Strategy
Office Receptionist,50%,79,658,0.12006079,Medical & Healthcare
